nombre,codigo,hexadecimal,libro,cartilla
Jasmine Leaf,AP67-3,A3D693,Magic-Book-Nuevo,Ambiance Plus-64
Jasmine Scent,AP67-2,CEEABE,Magic-Book-Nuevo,Ambiance Plus-64
Gentle Rain,AP67-1,CFECBF,Magic-Book-Nuevo,Ambiance Plus-64
Shallot Peel,AP66-6,C6E0B3,Magic-Book-Nuevo,Ambiance Plus-64
Shallot Shoot,AP66-5,ADCE8D,Magic-Book-Nuevo,Ambiance Plus-64
Kiwi,AP66-4,79BA5A,Magic-Book-Nuevo,Ambiance Plus-64
Kiwi Cut,AP66-3,A8D88E,Magic-Book-Nuevo,Ambiance Plus-64
Kiwi Squeeze,AP66-2,D0EABB,Magic-Book-Nuevo,Ambiance Plus-64
Subtle Touch,AP66-1,B7C7A7,Magic-Book-Nuevo,Ambiance Plus-64
Rosy Dawn,AP6-6,ECE2D7,Magic-Book-Nuevo,Ambiance Plus-64
Leaflet,AP65-6,D2E5B0,Magic-Book-Nuevo,Ambiance Plus-64
Grass Cut,AP65-5,B9D38B,Magic-Book-Nuevo,Ambiance Plus-64
Frolic Green,AP65-4,8EC256,Magic-Book-Nuevo,Ambiance Plus-64
Lime Freeze,AP65-3,BADC8B,Magic-Book-Nuevo,Ambiance Plus-64
Apple Cut,AP65-2,DAEAB9,Magic-Book-Nuevo,Ambiance Plus-64
Green Tinge,AP65-1,DCECC0,Magic-Book-Nuevo,Ambiance Plus-64
Sugar Pink,AP6-5,F7EEE7,Magic-Book-Nuevo,Ambiance Plus-64
Willow Stem,AP64-6,D9E6AF,Magic-Book-Nuevo,Ambiance Plus-64
Willow Wisp,AP64-5,C1CF8A,Magic-Book-Nuevo,Ambiance Plus-64
Green Willow,AP64-4,A2C153,Magic-Book-Nuevo,Ambiance Plus-64
Parsnip,AP64-3,C5DA8A,Magic-Book-Nuevo,Ambiance Plus-64
Pale Parsnip,AP64-2,D8EAB6,Magic-Book-Nuevo,Ambiance Plus-64
Greenlet,AP64-1,E2ECBF,Magic-Book-Nuevo,Ambiance Plus-64
Angelic Pink,AP6-4,F2EAE1,Magic-Book-Nuevo,Ambiance Plus-64
