code,name,hex
13YR 80/033,Licor de Durazno,#ffe3c5
10RR 73/016,Alas de Paloma,#f1d9bd
50RR 83/006,Siberia,#ffe9ca
90RR 83/009,Sombra Pálida,#ffe7c8
90RR 83/013,Luz de la Pradera,#ffe7c7
10YR 83/015,Sombra Suave,#ffe6c6
90RR 83/021,Encanto Discreto,#ffe7c8
50RR 83/029,Deleite,#ffe6c9
10RR 73/023,Fragancia Dulce,#f6dbc0
93YR 86/030,Nubes Etéreas,#ffebc9
60YR 83/026,Cabello de Ángel,#ffe7c5
50YR 83/025,Espacio Interno,#ffe6c6
70YR 83/034,Blanco Chantilly,#ffe8c6
55YR 83/024,Taza de Té,#ffe5c2
99YR 80/020,Papel Valioso,#fde3c4
80YR 74/043,Gamuza Rosa,#f9dab8
50YR 83/003,Toque de Invierno,#fee7c8
50YR 83/015,Toque de Rosa,#ffe6c5
60YR 83/017,Historia Secreta,#ffe8c6
70YR 83/026,Erizo Blanco,#ffe7c5
93YR 80/033,Pliegues de Chiffon,#ffe4c2
60YR 83/034,Efecto Luminoso,#ffe7c5
80YR 75/057,Polvo de Arroz,#fddcb8
14YY 88/041,Toque de Malvavisco,#fff0ca
11YY 85/042,Seda Suculenta,#ffebc6
80YR 83/026,Caricia,#ffe7c5
90YR 81/058,Momento Primaveral,#ffe5c0
82YR 83/056,Brisa Chic,#ffe7c2
90YR 74/057,Inercia,#fcdbb6
90YR 67/085,Almendra Suave,#f3cfa9
35YY 88/050,Tutú Blanco,#ffefc7
01YY 86/034,Blanco Cal,#ffecc8
00YY 83/046,Glamour,#ffe7c1
90YR 83/044,Nacarado,#ffe9c4
00YY 83/069,Durazno Real,#ffe5bc
00YY 83/080,Aurora,#ffe6bb
00YY 76/088,Papel Reciclado,#ffdcb3
40YY 83/021,Blanco Minimalista,#ffe8c5
29YY 79/033,Blanco Estelar,#fbe3c0
10YY 83/029,Perla Natural,#ffe9c5
00YY 83/057,Perfume de Día,#ffe6be
16YY 79/040,Mañana Alucinante,#fee3bf
08YY 78/069,Marea Blanca,#ffe1ba
10YY 74/063,Pétalo de Rosa,#fbdcb6
47YY 86/047,Boda Primaveral,#ffedc6
41YY 82/071,Bruma Mística,#ffe8bd
23YY 86/081,Chispazo de Marfil,#ffeabe
37YY 79/086,Sensación Natural,#ffe3b5
25YY 77/087,Naturaleza Viva,#ffe1b5
20YY 77/110,Copos de Arroz,#ffe0b0
30YY 71/138,Lino Blanco,#fcd9a5
50YY 83/029,Blanco Natural,#ffe8c2
30YY 82/039,Bruma Tranquila,#ffe8c3
44YY 84/042,Blanco Susurro,#ffe9c2
51YY 83/060,Niebla del Pacífico,#ffe7bd
30YY 79/053,Ópalo,#ffe5bd
25YY 77/087,Naturaleza Viva,#ffe1b5
40YY 74/056,Bizcocho de Leche,#f8dfb8
30YY 83/026,Domingo Nublado,#ffe9c6
39YY 85/046,Garza Real,#ffe9c1
43YY 81/051,Cielo Blanco,#ffe7bf
63YY 80/051,Yogur Natural,#fbe5be
41YY 77/065,Espejismo Vigoroso,#fae0b7
44YY 69/069,Guijarro Pálido,#efd6ae
30YY 71/073,Blanco Prisma,#f6d9b0
23YY 86/081,Chispazo de Marfil,#ffebbf
40YY 83/086,Tempestad de Arena,#ffeabb
50YY 83/114,Lirio de Pascua,#ffe8b3
42YY 84/095,Almendra Azucarada,#ffeab8
45YY 83/125,Marfil Palacio,#ffeab3
39YY 77/091,Neutro Permanente,#fee1b3
38YY 72/117,Leyenda Indígena,#fcddab
53YY 89/081,Dejo de Vainilla,#ffeec1
